"constituency","year_1","year_2","year_3","year_4","year_5","year_6"
127,"Unipolar","Multipolar","Multipolar","Bipolar","Unipolar","Multipolar"
128,"Unipolar","Multipolar","Multipolar","Multipolar","Unipolar","Divided-Unipolar"
129,"Divided-Unipolar","Multipolar","Bipolar","Multipolar","Divided-Unipolar","Multipolar"
130,"Divided-Unipolar","Divided-Unipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
131,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
132,"Multipolar","Bipolar","Bipolar","Multipolar","Multipolar","Multipolar"
133,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
134,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
135,"Divided-Unipolar","Bipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
136,"Divided-Unipolar","Multipolar","Bipolar","Bipolar","Multipolar","Multipolar"
137,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
138,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
139,"Multipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
140,"Multipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar"
141,"Multipolar","Multipolar","Bipolar","Multipolar","Unipolar","Multipolar"
142,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
143,"Multipolar","Bipolar","Multipolar","Divided-Unipolar","Bipolar","Multipolar"
144,"Multipolar","Multipolar","Multipolar","Divided-Unipolar","Bipolar","Multipolar"
145,"Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
146,"Multipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
147,"Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
148,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
149,"Bipolar","Bipolar","Bipolar","Multipolar","Multipolar","Bipolar"
150,"Bipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
151,"Bipolar","Bipolar","Bipolar","Divided-Unipolar","Bipolar","Multipolar"
152,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
153,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
154,"Divided-Unipolar","Multipolar","Bipolar","Divided-Unipolar","Bipolar","Multipolar"
155,"Bipolar","Bipolar","Bipolar","Bipolar","Bipolar","Multipolar"
